date,close,volume,closecum
2014-08-01,,582799936,
2014-08-04,0.292849288579,445059104,0.292849288579
2014-08-05,2.32144025399,818787840,2.61428954257
2014-08-06,0.370987703316,629738880,2.98527724588
2014-08-07,-0.271794045719,631217216,2.71348320017
2014-08-08,1.13191505608,563466560,3.84539825624
2014-08-11,1.47657438228,664496384,5.32197263852
2014-08-12,-0.0962952788128,621193728,5.22567735971
2014-08-13,-0.868567025532,649625984,4.35711033418
2014-08-14,-0.28938625697,604657152,4.06772407721
2014-08-15,0.880096616468,624526784,4.94782069368
2014-08-18,2.60605220579,878972864,7.55387289946
2014-08-19,0.535927135747,943267584,8.08980003521
2014-08-20,-0.626011211393,690049664,7.46378882382
2014-08-21,1.43456232433,790864000,8.89835114815
2014-08-22,0.955948727831,860614464,9.85429987598
2014-08-25,-1.22567765964,798373888,8.62862221634
2014-08-26,-2.26179971547,677748992,6.36682250087
2014-08-27,0.665414732665,529596192,7.03223723353
2014-08-28,-1.17877708477,533934912,5.85346014876
2014-08-29,1.47272215673,429131968,7.32618230549
2014-09-01,1.99190013963,600888640,9.31808244512
2014-09-02,0.839044549205,789448896,10.1571269943
2014-09-03,0.862779200195,903742016,11.0199061945
2014-09-04,1.20730364566,903336192,12.2272098402
2014-09-05,-0.379669050018,775855168,11.8475407902
2014-09-09,0.280702225414,760818240,12.1282430156
2014-09-10,0.729375904023,724151488,12.8576189196
2014-09-11,0.538236736451,993364288,13.3958556561
2014-09-12,0.73409763558,780521792,14.1299532916
2014-09-15,0.132141739403,875535808,14.262095031
2014-09-16,-3.47315276827,1028152768,10.7889422628
2014-09-17,0.406481437483,637539648,11.1954237003
2014-09-18,0.788916097296,577597696,11.9843397975
2014-09-19,0.559234820266,573903296,12.5435746178
2014-09-22,-1.0520143764,654780800,11.4915602414
2014-09-23,1.18899547175,586736320,12.6805557132
2014-09-24,1.09467751284,728482240,13.775233226
2014-09-25,-0.593441108302,839569216,13.1817921177
2014-09-26,0.194972739616,658988032,13.3767648573
2014-09-29,0.980443402849,732054528,14.3572082602
2014-09-30,0.963126771176,668556032,15.3203350313
2014-10-08,1.08341110305,745725888,16.4037461344
2014-10-09,0.231001150512,874494016,16.6347472849
2014-10-10,-0.445116022255,803767104,16.1896312626
2014-10-13,-0.378968959933,750136832,15.8106623027
2014-10-14,-0.594706415376,718951040,15.2159558873
2014-10-15,0.422579410689,651067008,15.638535298
2014-10-16,-1.23335379973,699989888,14.4051814983
2014-10-17,-1.01574782518,658007936,13.3894336731
2014-10-20,1.41133275184,494938784,14.800766425
2014-10-21,-0.972147900651,589689344,13.8286185243
2014-10-22,-0.852134752086,552624448,12.9764837722
2014-10-23,-1.77561161063,549928640,11.2008721616
